Image_No,age,gender,race,emotion,center_dist,space
28,30,"{'male': 0.3157085971906781, 'female': 99.68429803848267}","{'asian': 40.886823429247926, 'indian': 6.673385897471202, 'black': 2.074659182171919, 'white': 20.426069745293887, 'middle eastern': 9.508858232634278, 'latino hispanic': 20.430200346684416}","{'angry': 0.47550154849886894, 'disgust': 0.726288603618741, 'fear': 1.681423932313919, 'happy': 71.80544137954712, 'sad': 19.867700338363647, 'surprise': 0.07667844765819609, 'neutral': 5.366968363523483}",,
29,46,male,asian,sad,109.04127658827184,33.728
29,46,"{'male': 99.25547242164612, 'female': 0.7445299532264471}","{'asian': 92.76868018730643, 'indian': 0.8312003746569603, 'black': 0.12348541366507573, 'white': 3.2553125328198114, 'middle eastern': 0.18621840173001905, 'latino hispanic': 2.8351096090805066}","{'angry': 0.5267345194807362, 'disgust': 8.780318080814073e-05, 'fear': 3.4083018248261108, 'happy': 0.00277394645472064, 'sad': 95.06482452540544, 'surprise': 0.0016644496182210515, 'neutral': 0.9956120175488006}",,
30,40,male,asian,happy,2.0,86.31483843537416
30,40,"{'male': 99.2759108543396, 'female': 0.7240893319249153}","{'asian': 40.831467509269714, 'indian': 10.393375158309937, 'black': 3.6613814532756805, 'white': 10.29159352183342, 'middle eastern': 4.575729742646217, 'latino hispanic': 30.246451497077942}","{'angry': 0.17097845265153616, 'disgust': 0.0010023061519184267, 'fear': 0.012183207584823882, 'happy': 95.67982605936217, 'sad': 1.1981239976735119, 'surprise': 0.0018668840814859955, 'neutral': 2.9360125066623084}",,
31,31,male,white,happy,34.713109915419565,29.18017600741084
31,31,"{'male': 95.58320641517639, 'female': 4.416793957352638}","{'asian': 4.210304414137278e-10, 'indian': 4.673538899629959e-10, 'black': 1.1486744240789444e-12, 'white': 99.99972581863403, 'middle eastern': 0.00018012586906479555, 'latino hispanic': 9.515131296211621e-05}","{'angry': 0.0005764676188846352, 'disgust': 8.009942575881723e-06, 'fear': 0.0005518736543308478, 'happy': 99.9848484992981, 'sad': 7.04304795817734e-05, 'surprise': 6.319211109939715e-06, 'neutral': 0.013932633737567812}",,
32,39,male,white,happy,12.08304597359457,56.51533018867924
32,39,"{'male': 89.35422897338867, 'female': 10.64576730132103}","{'asian': 8.580277860164642, 'indian': 5.911872163414955, 'black': 2.4761170148849487, 'white': 38.00991177558899, 'middle eastern': 20.187373459339142, 'latino hispanic': 24.834446609020233}","{'angry': 0.004023850124212913, 'disgust': 7.385860953945667e-05, 'fear': 0.004883172005065717, 'happy': 79.90043759346008, 'sad': 0.08014849736355245, 'surprise': 0.031484756618738174, 'neutral': 19.978947937488556}",,
33,36,male,white,sad,4.0,69.25233644859813
33,36,"{'male': 69.98594999313354, 'female': 30.014052987098694}","{'asian': 2.7850598096847534, 'indian': 0.8694622665643692, 'black': 0.16588566359132528, 'white': 72.59888648986816, 'middle eastern': 10.974125564098358, 'latino hispanic': 12.606580555438995}","{'angry': 0.0035122589906677604, 'disgust': 2.531690412865828e-06, 'fear': 8.297087997198105, 'happy': 36.26749515533447, 'sad': 53.397613763809204, 'surprise': 7.522689315919706e-05, 'neutral': 2.034209296107292}",,
34,33,female,white,fear,53.907327887774215,45.58318318318319
34,33,"{'male': 4.623076319694519, 'female': 95.37692070007324}","{'asian': 2.656005509197712, 'indian': 0.7693956140428782, 'black': 0.23614470846951008, 'white': 74.92210268974304, 'middle eastern': 11.136682331562042, 'latino hispanic': 10.279674082994461}","{'angry': 0.16437163576483727, 'disgust': 0.00011811787317128619, 'fear': 95.99712491035461, 'happy': 0.006400002894224599, 'sad': 3.6983955651521683, 'surprise': 0.0001050370883604046, 'neutral': 0.13348085340112448}",,
35,47,female,asian,happy,8.0,81.48936170212767
35,47,"{'male': 49.67220723628998, 'female': 50.32778978347778}","{'asian': 35.55175960063934, 'indian': 15.438959002494812, 'black': 10.258287936449051, 'white': 3.102433867752552, 'middle eastern': 1.7486942932009697, 'latino hispanic': 33.89987349510193}","{'angry': 0.010293237074479138, 'disgust': 0.0034302297994080796, 'fear': 0.18052397239294976, 'happy': 97.72217300865972, 'sad': 0.6978079776098755, 'surprise': 0.06291802688175119, 'neutral': 1.3228506135522589}",,
36,39,female,latino hispanic,happy,11.180339887498947,81.02803738317756
36,39,"{'male': 0.0017606418623472564, 'female': 99.99823570251465}","{'asian': 7.563300430774689, 'indian': 7.2909533977508545, 'black': 0.9140417911112309, 'white': 12.558966875076294, 'middle eastern': 5.497677251696587, 'latino hispanic': 66.17506146430969}","{'angry': 1.409967088302801e-08, 'disgust': 2.2354905464303534e-14, 'fear': 1.929872554661531e-06, 'happy': 99.21448226061358, 'sad': 3.069802017928437e-06, 'surprise': 0.5028707275015549, 'neutral': 0.28264219229025794}",,
37,32,female,latino hispanic,happy,41.10960958218893,22.814814814814817
37,32,"{'male': 14.714787900447845, 'female': 85.28521060943604}","{'asian': 2.889239974319935, 'indian': 3.4012574702501297, 'black': 0.6417497061192989, 'white': 36.203137040138245, 'middle eastern': 15.634262561798096, 'latino hispanic': 41.23035371303558}","{'angry': 0.00019814598361853785, 'disgust': 1.0662039886992667e-06, 'fear': 5.79294385683749e-05, 'happy': 99.56197736036643, 'sad': 0.00036055393923494465, 'surprise': 0.010786930130900376, 'neutral': 0.4266222261859313}",,
38,25,male,asian,happy,9.055385138137417,80.53990610328638
38,25,"{'male': 97.90295362472534, 'female': 2.0970506593585014}","{'asian': 67.4132227897644, 'indian': 2.125595510005951, 'black': 30.014151334762573, 'white': 0.0008723272912902758, 'middle eastern': 6.180004561429087e-05, 'latino hispanic': 0.44610435143113136}","{'angry': 0.12518560979515314, 'disgust': 9.355424879231578e-06, 'fear': 0.37386317271739244, 'happy': 73.75425100326538, 'sad': 0.5747134331613779, 'surprise': 11.515365540981293, 'neutral': 13.656611740589142}",,
39,28,female,asian,neutral,4.47213595499958,52.01348938702638
